"","GEOID","TotalPop","MedHHInc","Poverty","PubSNAP","MedRent","MedHomeVal","OwnerOcc","RenterOcc","VacHU","TotalHU","MedHUBuilt","BlackPop","HispLatPop","WhitePop","AsianPop","NatAmPop","Bach_deg","HS_Grad","No_HS_Deg","Grad_deg","Drive_commute","Carpool_commute","PubTrans_commute","Bike_commute","Walk_commute","WFA_commute","US_cit","NotUS_cit","EmplPop","UnemplPop","Occ_Agri","Occ_Const","Occ_Manuf","Occ_Wholesale","Occ_Retail","Occ_Transport","Occ_Info","Occ_FinIns","Occ_Prof_sci_mangr","Occ_Edu_health","Occ_Art_Hosp","Occ_PubAdmin","Occ_ArmedForce","Occ_other"
"1","47065010800",4045,30724,895,482,473,105300,762,1088,214,2064,1968,386,599,2980,0,0,312,901,388,215,1748,281,0,29,9,51,3552,440,2154,188,51,201,148,29,228,61,68,188,208,456,291,78,0,111
"2","47065011402",6603,40611,639,466,605,110400,1668,817,249,2734,1968,4663,167,1455,238,21,340,1437,577,232,2780,380,0,0,0,37,6309,227,3316,257,0,119,618,77,332,188,52,170,343,710,399,151,0,119
"3","47065011442",2896,41111,251,120,596,148500,670,478,81,1229,1983,362,149,2213,43,20,315,584,235,113,1244,84,29,0,1,26,2763,101,1393,111,0,106,114,7,111,26,18,147,226,299,170,74,0,95
"4","47065010600",2901,38456,322,205,558,114500,801,503,98,1402,1958,46,129,2633,16,55,336,631,269,165,1228,171,0,6,92,0,2752,139,1578,100,0,114,150,26,195,22,0,102,243,274,199,59,0,134
"5","47065010101",5800,52016,560,264,747,169300,1736,440,266,2442,1988,41,111,5536,6,0,434,1386,457,110,2615,160,0,0,45,98,5627,101,3027,231,0,194,384,127,494,190,28,116,203,419,497,95,0,196
"6","47065000800",1261,31290,408,172,585,104400,244,316,213,773,1963,392,17,906,0,0,162,215,144,55,390,23,39,15,4,28,1250,62,610,134,0,21,81,9,127,43,10,4,23,144,83,0,0,18
"7","47065002800",3742,46790,408,119,527,151100,1096,595,274,1965,1949,665,114,2907,26,0,782,459,202,392,1832,58,53,6,9,34,3636,74,2068,151,39,100,278,51,227,35,103,357,141,404,118,52,0,125
"8","47065002900",2216,32721,544,158,468,115900,590,465,321,1376,1955,1144,107,978,0,0,253,618,222,119,760,69,47,0,10,0,2158,44,920,258,0,13,86,0,31,211,49,78,122,186,61,45,0,11
"9","47065011600",5544,30878,826,446,538,95100,1242,1342,258,2842,1958,413,72,4686,320,0,369,1367,942,35,2156,191,5,0,0,56,5273,186,2492,298,0,127,325,0,191,299,50,244,270,269,246,172,0,215
"10","47065011700",3800,44773,435,146,619,118100,1241,633,211,2085,1956,192,227,3285,0,0,691,814,380,137,1701,151,0,0,0,33,3701,3,1908,181,3,57,257,67,355,92,19,301,111,254,211,39,0,119
"11","47065003000",2500,31662,585,172,610,99700,516,477,116,1109,1953,996,388,1011,74,0,158,405,368,40,922,217,71,0,25,8,2150,306,1279,49,0,25,56,24,115,119,79,149,175,195,163,101,0,42
"12","47065011800",6382,46101,823,350,589,125900,1672,1086,247,3005,1959,906,170,5222,12,0,522,1418,440,449,2796,214,0,0,0,78,6113,116,3174,215,13,136,460,88,258,325,52,302,233,591,306,181,0,173
"13","47065011321",6655,60363,532,141,972,187900,1790,935,475,3200,1995,885,172,4943,526,0,1368,745,437,603,3073,201,11,0,28,127,5839,539,3494,139,11,303,359,74,236,172,46,346,414,1003,300,97,0,79
"14","47065003400",4418,38891,821,126,608,136000,706,1252,281,2239,1974,1117,633,2619,33,0,466,905,329,313,1734,328,55,0,0,18,3954,369,2237,331,0,201,204,36,152,120,87,181,167,404,299,123,0,166
"15","47065011900",1967,31378,445,175,541,116600,335,489,90,914,1965,345,58,1355,16,0,207,283,190,89,853,48,0,3,6,10,1903,37,934,105,0,31,112,18,112,98,19,59,51,183,191,22,0,28
"16","47065002600",2068,19613,1076,364,555,83600,260,494,237,991,1944,966,565,552,0,0,114,444,656,11,567,141,0,0,89,22,1681,341,840,76,0,44,244,0,82,28,18,13,113,82,83,27,0,85
"17","47065012000",1819,123409,26,3,729,592200,634,58,122,814,1950,36,40,1735,9,0,609,38,10,423,666,46,0,0,7,35,1777,6,773,34,0,47,61,13,75,20,0,138,115,219,40,16,0,19
"18","47065011314",5144,74250,629,79,937,156500,1656,92,98,1846,1984,812,163,4216,68,0,788,860,331,321,2342,250,0,0,0,42,5035,50,2652,215,0,143,459,89,231,157,25,254,193,576,297,74,11,125
"19","47065011311",5255,55234,690,290,600,178800,1560,643,298,2501,1991,1390,357,4656,130,16,684,1151,1198,468,2171,211,8,0,0,232,6195,234,2660,174,0,269,392,50,162,56,31,217,185,740,282,165,0,111
"20","47065003300",7603,32877,1338,818,497,96000,1831,1166,122,3119,1960,6006,301,1159,13,16,492,1743,683,316,2659,452,99,0,12,322,7293,235,3678,478,19,140,408,20,335,197,89,393,401,800,409,262,0,120
"21","47065000600",3016,61509,536,123,775,264200,1019,406,347,1772,1943,101,100,2736,33,0,691,296,57,535,1213,255,8,18,68,132,2894,15,1758,154,0,168,89,88,144,29,13,239,218,425,190,41,0,56
"22","47065012100",5676,50750,756,255,529,158200,1836,551,430,2817,1977,21,285,5288,83,0,647,1143,596,458,2383,165,2,0,0,86,5568,37,2759,245,0,203,361,62,426,190,23,163,317,549,154,122,0,97
"23","47065001200",2926,21399,1253,599,438,111800,474,819,208,1501,1963,2696,23,475,0,0,131,696,480,139,540,110,22,0,16,17,3220,0,771,380,0,0,117,17,61,36,8,49,74,132,157,26,0,66
"24","47065002500",4956,21360,2427,831,450,69500,719,1056,322,2097,1951,2643,622,1586,18,16,168,915,909,67,1149,162,51,0,34,104,4549,287,1503,581,14,66,351,61,76,139,37,51,132,302,176,28,13,54
"25","47065010412",5607,58542,603,163,595,144300,1587,366,41,1994,1977,172,65,5212,158,0,555,1217,419,127,2345,237,0,0,0,45,5331,115,2641,177,0,198,350,60,314,226,28,291,192,496,168,61,0,243
"26","47065003100",1066,20855,451,195,588,631000,154,682,134,970,1939,538,55,1057,0,0,201,398,351,218,260,41,42,46,129,2,1577,65,528,50,19,51,48,11,27,30,31,74,70,87,39,24,0,9
"27","47065010501",6490,52431,869,422,550,130500,2063,618,274,2955,1963,645,68,5416,392,0,698,1611,461,284,2700,389,0,0,18,38,6113,154,3176,356,43,145,266,73,340,335,85,258,276,782,294,166,0,108
"28","47065010433",4774,41518,1200,374,559,128100,1102,1015,228,2345,1970,525,713,3587,0,10,444,974,587,149,2009,175,0,0,100,53,4282,422,2356,325,0,69,337,26,258,147,15,305,314,342,356,88,0,99
"29","47065000400",3213,21454,1047,612,413,81400,571,831,212,1614,1959,2732,73,381,0,0,90,883,742,18,700,76,95,0,55,0,3257,50,956,250,0,34,218,22,24,0,12,7,131,252,157,45,0,47
"30","47065001300",1718,25605,727,236,490,85500,294,333,254,881,1939,1159,175,379,0,0,118,327,303,13,411,97,45,16,38,13,1662,65,664,79,10,6,83,34,104,29,29,20,47,178,89,22,0,13
"31","47065001600",2331,8880,1815,905,215,NA,0,1472,246,1718,1968,1891,21,381,18,0,45,633,469,0,201,16,148,0,84,0,2277,42,460,360,0,0,67,9,18,0,0,0,53,82,181,0,0,50
"32","47065011100",6614,82031,63,34,1110,289400,2256,433,235,2924,1970,17,7,6667,1,0,1751,427,158,1200,2636,88,8,0,0,277,6355,64,3107,20,0,144,245,129,136,120,100,344,510,991,233,46,0,77
"33","47065001400",1693,26452,598,181,476,96100,271,383,178,832,1939,860,262,775,3,0,102,469,343,11,414,150,0,47,163,32,1715,149,806,192,4,58,51,15,77,57,0,57,61,287,74,9,0,56
"34","47065001100",1839,16808,868,223,509,126400,230,532,119,881,1939,1060,349,492,0,0,149,386,384,76,460,140,67,28,64,33,1632,246,842,133,32,30,162,5,79,25,17,12,103,149,108,13,0,75
"35","47065010700",2441,34097,395,195,491,123600,498,698,331,1527,1965,368,92,1839,105,0,338,471,153,192,1148,197,1,0,16,27,2295,121,1432,180,2,17,69,64,146,33,43,76,137,437,215,8,0,142
"36","47065002400",4426,26224,2099,561,574,59100,644,800,336,1780,1946,995,980,2219,190,10,199,628,949,6,1222,151,54,0,0,5,3705,627,1546,382,0,207,275,31,203,15,16,74,157,189,203,0,0,141
"37","47065001900",4559,13728,2856,951,327,65300,544,1129,270,1943,1964,4235,92,204,0,8,101,816,680,11,793,101,138,0,55,8,4435,24,1159,484,0,9,104,6,163,43,8,35,23,333,389,0,0,15
"38","47065010432",6237,73047,264,76,820,214800,2037,764,330,3131,1980,175,0,6072,48,0,1356,926,359,1138,2612,164,17,0,78,124,6085,47,3110,85,14,133,311,50,147,393,71,326,441,752,167,18,0,172
"39","47065001800",2628,43008,429,115,535,108600,688,397,315,1400,1939,657,9,1903,13,0,471,492,162,169,1017,226,27,0,89,82,2515,2,1451,225,32,122,168,9,205,36,28,17,179,371,184,37,0,53
"40","47065011411",3948,42308,667,294,590,157500,988,684,207,1879,1971,1563,63,2153,146,0,589,817,327,215,1511,238,0,0,14,56,3846,47,1788,388,0,74,325,58,166,113,25,32,146,513,162,78,38,89
"41","47065011201",7740,70792,997,238,722,246800,2263,766,307,3336,1997,343,295,6939,130,0,1099,1396,306,882,3240,346,0,0,4,227,6935,376,3899,325,38,130,357,169,515,314,42,379,218,1220,210,94,0,131
"42","47065002000",1195,19781,562,274,362,154500,197,430,108,735,1978,741,118,332,0,39,106,303,265,51,368,77,58,19,44,23,1098,127,614,56,23,53,45,35,86,21,8,72,62,108,54,7,0,15
"43","47065002300",1274,25511,454,238,427,49600,261,271,37,569,1954,282,440,540,0,3,11,192,484,0,377,66,0,0,9,12,1076,158,469,101,0,125,81,6,28,0,0,48,89,20,61,0,0,6
"44","47065010411",6729,72270,550,170,765,169100,2090,309,167,2566,1979,316,125,5958,321,9,867,1222,405,456,2895,127,16,0,0,138,6267,187,3209,113,0,307,438,104,309,177,28,343,310,665,201,111,15,168
"45","47065010413",4496,89659,353,149,601,192600,1325,167,107,1599,1981,2,9,4309,161,10,820,602,238,409,1865,168,0,0,11,53,4397,32,2098,245,0,82,262,66,170,139,12,356,195,499,164,57,9,86
"46","47065010431",7119,57770,574,214,588,179000,2133,759,139,3031,1982,442,240,5846,554,0,1422,925,550,709,2922,416,28,0,22,13,6551,143,3417,407,26,159,492,92,519,217,52,155,305,681,337,157,0,210
"47","47065011413",7732,53750,586,335,623,136700,2582,550,271,3403,1977,1672,132,5681,31,28,1014,1589,564,371,3421,436,0,0,54,27,7623,15,4036,447,21,318,539,64,425,292,28,294,345,938,299,115,0,281
"48","47065003200",3136,37330,565,169,651,85400,991,282,296,1569,1955,2323,159,496,0,0,210,603,400,127,917,152,55,0,0,55,3063,0,1341,194,0,0,145,0,106,148,26,146,95,353,78,81,0,96
"49","47065000700",3950,71105,534,54,822,221400,1003,733,280,2016,1950,53,0,3889,0,33,1209,375,70,618,2119,148,0,18,0,52,3953,24,2448,143,10,78,141,83,330,32,73,281,257,637,342,13,0,91
"50","47065010502",3276,54410,384,113,604,176400,828,579,156,1563,1967,126,426,2666,42,0,559,547,319,355,1431,166,0,0,0,103,2865,377,1733,157,7,148,212,40,107,144,46,162,222,251,259,17,0,85
