Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Longitude,Location,citydst
100 Hollyberry Ln,Chattanooga,TN,37411,04/25/2024 08:45:00 PM,TN0330100,C2,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-037416,3,Pending/Possible Leads,35.020153,-85.23813000000001,POINT (-85.23813 35.020153),5.0
1100 W 40th St,Chattanooga,TN,37410,04/25/2024 07:46:00 PM,TN0330100,A12,Adam S,120,Robbery,Part 1 Crimes,24-037400,3,Pending/Possible Leads,35.010593,-85.32041600000001,POINT (-85.320416 35.010593),7.0
500 Manufacturers Rd,Chattanooga,TN,37405,04/25/2024 11:44:00 AM,TN0330100,A5,Adam N,13A,Aggravated Assault,Part 1 Crimes,24-037223,3,Pending/Possible Leads,35.06224,-85.315699,POINT (-85.315699 35.06224),1.0
700 E 11th St,Chattanooga,TN,37403,04/25/2024 11:16:00 AM,TN0330100,A9,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-037216,2,Cleared by Arrest,35.040994999999995,-85.300444,POINT (-85.300444 35.040995),8.0
1200 E Main St,Chattanooga,TN,37408,04/25/2024 11:10:00 AM,TN0330100,B5,Baker S,13A,Aggravated Assault,Part 1 Crimes,24-037213,3,Pending/Possible Leads,35.028491,-85.28873399999999,POINT (-85.288734 35.028491),8.0
1000 Graysville Rd,Chattanooga,TN,37421,04/25/2024 10:25:00 AM,TN0330100,C8,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-037202,3,Pending/Possible Leads,34.999522999999996,-85.149754,POINT (-85.149754 34.999523),4.0
700 Cherry St,Chattanooga,TN,37402,04/25/2024 03:00:00 AM,TN0330100,A7,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-037134,3,Pending/Possible Leads,35.04833,-85.307705,POINT (-85.307705 35.04833),7.0
2600 Carr St,Chattanooga,TN,37408,04/24/2024 11:54:00 PM,TN0330100,A10,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-037106,2,Cleared by Arrest,35.025698,-85.313066,POINT (-85.313066 35.025698),7.0
E 11th St & Peeples St,Chattanooga,TN,37403,04/24/2024 10:17:00 PM,TN0330100,A9,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-037108,2,Cleared by Arrest,35.040846,-85.298832,POINT (-85.298832 35.040846),8.0
1300 Dodson Ave,Chattanooga,TN,37406,04/24/2024 06:37:00 PM,TN0330100,B3,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-037029,3,Pending/Possible Leads,35.051177,-85.261127,POINT (-85.261127 35.051177),9.0
900 Blackford St,Chattanooga,TN,37403,04/23/2024 11:37:00 PM,TN0330100,A8,Adam S,11A,Forcible Rape,Part 1 Crimes,24-036718,3,Pending/Possible Leads,35.049187,-85.289023,POINT (-85.289023 35.049187),8.0
2100 Cleveland Ave,Chattanooga,TN,37404,04/23/2024 06:39:00 PM,TN0330100,B4,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-036673,3,Pending/Possible Leads,35.041775,-85.26838500000001,POINT (-85.268385 35.041775),8.0
1200 Cypress Street Ct,Chattanooga,TN,37402,04/22/2024 10:18:00 PM,TN0330100,A6,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-036386,2,Cleared by Arrest,35.043109,-85.317379,POINT (-85.317379 35.043109),7.0
1200 Gadd Rd,Chattanooga,TN,37343,04/22/2024 09:17:00 PM,TN0330100,A1,Adam N,13A,Aggravated Assault,Part 1 Crimes,24-036369,3,Pending/Possible Leads,35.142534999999995,-85.24820700000001,POINT (-85.248207 35.142535),3.0
3400 Cagle Rd,Chattanooga,TN,37419,04/21/2024 11:19:00 PM,TN0330100,A13,Adam S,11A,Forcible Rape,Part 1 Crimes,24-036050,3,Pending/Possible Leads,35.045727,-85.365615,POINT (-85.365615 35.045727),1.0
2800 E 46th St,Chattanooga,TN,37407,04/21/2024 10:02:00 PM,TN0330100,B9,Baker S,13A,Aggravated Assault,Part 1 Crimes,24-036029,3,Pending/Possible Leads,34.989248,-85.28702200000001,POINT (-85.287022 34.989248),7.0
1400 N Chamberlain Ave,Chattanooga,TN,37406,04/21/2024 07:20:00 PM,TN0330100,B3,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-035990,3,Pending/Possible Leads,35.051792,-85.25665799999999,POINT (-85.256658 35.051792),9.0
4001-411 Shallowford Rd,Chattanooga,TN,37411,04/21/2024 02:53:00 PM,TN0330100,C1,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-035927,3,Pending/Possible Leads,35.043606,-85.22081299999999,POINT (-85.220813 35.043606),5.0
4700 Bonny Oaks Dr,Chattanooga,TN,37416,04/21/2024 01:49:00 PM,TN0330100,C5,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-035910,3,Pending/Possible Leads,35.077816,-85.19496000000001,POINT (-85.19496 35.077816),5.0
6200 Hixson Pike,Chattanooga,TN,37343,04/21/2024 12:00:00 PM,TN0330100,A2,Adam N,120,Robbery,Part 1 Crimes,24-036303,3,Pending/Possible Leads,35.152511000000004,-85.19962199999999,POINT (-85.199622 35.152511),3.0
2300 4th Ave,Chattanooga,TN,37404,04/21/2024 06:51:00 AM,TN0330100,B6,Baker S,120,Robbery,Part 1 Crimes,24-035830,2,Cleared by Arrest,35.018208,-85.28054,POINT (-85.28054 35.018208),8.0
300 Mcbrien Rd,Chattanooga,TN,37411,04/21/2024 01:25:00 AM,TN0330100,B3,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-035787,2,Cleared by Arrest,35.00673,-85.223838,POINT (-85.223838 35.00673),6.0
1000 E 8th St,Chattanooga,TN,37403,04/20/2024 10:41:00 PM,TN0330100,A8,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-035750,3,Pending/Possible Leads,35.041745,-85.29485,POINT (-85.29485 35.041745),8.0
2600 Glenwood Pkwy,Chattanooga,TN,37404,04/20/2024 08:56:00 PM,TN0330100,B4,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-035718,2,Cleared by Arrest,35.034259999999996,-85.261504,POINT (-85.261504 35.03426),9.0
1100 Peeples St,Chattanooga,TN,37403,04/20/2024 04:10:00 PM,TN0330100,A9,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-035616,2,Cleared by Arrest,35.040756,-85.300263,POINT (-85.300263 35.040756),8.0
3600 Dorris St,Chattanooga,TN,37410,04/20/2024 12:40:00 PM,TN0330100,A11,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-035544,2,Cleared by Arrest,35.007101,-85.30861300000001,POINT (-85.308613 35.007101),7.0
3900 Teakwood Dr,Chattanooga,TN,37416,04/20/2024 12:30:00 PM,TN0330100,C5,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-035547,3,Pending/Possible Leads,35.092164000000004,-85.186143,POINT (-85.186143 35.092164),3.0
7900 Shallowford Rd,Chattanooga,TN,37421,04/20/2024 10:00:00 AM,TN0330100,C7,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-035501,3,Pending/Possible Leads,35.03382,-85.133985,POINT (-85.133985 35.03382),4.0
Hickory Valley Rd & Bonny Oaks Dr,Chattanooga,TN,37421,04/20/2024 03:30:00 AM,TN0330100,C9,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-035452,3,Pending/Possible Leads,35.0720095,-85.157133,POINT (-85.157133 35.0720095),6.0
2400 Gunbarrel Rd,Chattanooga,TN,37421,04/20/2024 01:00:00 AM,TN0330100,C9,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-035416,3,Pending/Possible Leads,35.045587999999995,-85.14813600000001,POINT (-85.148136 35.045588),4.0
2900 E 46th St,Chattanooga,TN,37407,04/20/2024 12:02:00 AM,TN0330100,B9,Baker S,13A,Aggravated Assault,Part 1 Crimes,24-035404,2,Cleared by Arrest,34.989178,-85.28625000000001,POINT (-85.28625 34.989178),7.0
