"","GEOID","TotalPop","MedHHInc","Poverty","PubSNAP","MedRent","MedHomeVal","OwnerOcc","RenterOcc","VacHU","TotalHU","MedHUBuilt","BlackPop","HispLatPop","WhitePop","AsianPop","NatAmPop","Bach_deg","HS_Grad","No_HS_Deg","Grad_deg","Drive_commute","Carpool_commute","PubTrans_commute","Bike_commute","Walk_commute","WFA_commute","US_cit","NotUS_cit","EmplPop","UnemplPop","Occ_Agri","Occ_Const","Occ_Manuf","Occ_Wholesale","Occ_Retail","Occ_Transport","Occ_Info","Occ_FinIns","Occ_Prof_sci_mangr","Occ_Edu_health","Occ_Art_Hosp","Occ_PubAdmin","Occ_ArmedForce","Occ_other"
"1","47037013800",1863,21523,972,281,469,89900,325,364,113,802,1956,1790,15,51,0,0,60,301,249,42,450,67,45,0,0,30,1873,0,644,165,0,12,33,0,84,25,15,11,67,237,73,10,0,39
"2","47037013700",6218,25174,3115,1112,545,79500,640,1804,344,2788,1976,5783,0,605,0,14,265,1166,708,195,1548,444,106,16,12,0,6392,46,2296,453,0,74,96,0,310,180,14,108,154,824,294,111,0,17
"3","47037012701",4801,27648,1891,574,509,117600,1131,810,224,2165,1973,4516,0,117,0,0,352,905,414,169,1208,172,37,0,0,46,4662,63,1540,586,0,0,51,45,96,129,56,52,97,643,73,128,0,93
"4","47037016300",2306,23474,1150,258,647,163900,244,760,28,1032,1960,1389,64,813,3,0,272,312,417,100,702,103,20,34,75,23,2129,118,1032,93,0,19,65,0,196,32,0,0,86,231,270,33,0,29
"5","47037016000",520,14150,165,145,442,118200,88,192,94,374,1972,484,4,39,15,11,38,165,46,3,114,26,10,0,0,23,534,4,184,91,0,4,0,0,23,0,0,0,3,28,45,26,15,29
"6","47037015610",8113,63254,634,252,743,226200,1673,1834,327,3834,1992,1327,340,5817,345,40,1415,1441,204,930,4044,382,72,0,0,162,7515,350,4736,374,0,235,391,135,831,244,150,377,573,1016,343,169,13,194
"7","47037015405",4682,52207,669,265,691,138200,1302,441,198,1941,1979,547,168,3785,92,39,617,1024,407,207,2188,226,8,0,7,97,4369,183,2629,113,7,111,235,41,328,289,98,250,228,485,309,79,7,66
"8","47037980200",0,NA,1,0,NA,NA,0,0,0,0,NA,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","47037010401",4049,37489,741,290,756,119300,1014,777,276,2067,1984,890,611,2524,0,0,325,993,577,272,1684,216,10,0,9,54,3643,378,1995,212,15,114,60,85,339,220,25,118,248,334,187,116,0,112
"10","47037012702",1983,44595,383,185,534,138800,619,240,171,1030,1969,1826,5,177,6,0,152,485,152,155,821,62,57,0,0,0,2009,0,990,85,0,71,23,10,105,68,6,103,38,199,121,167,0,29
